"accountingcontext","name","balance","name"
"","Inventory Asset","42492923.98","Inventory Asset"
"","Inventory Asset","42492923.98","Inventory Asset"
"","Inventory Asset","42492923.98","Inventory Asset"
"","Inventory Returned Not Credited","5098.35","Inventory Returned Not Credited"
"","Inventory Returned Not Credited","5098.35","Inventory Returned Not Credited"
"","Cost of Goods Sold","6511462.42","Cost of Goods Sold"
"","Inventory In Transit","1945.00","Inventory In Transit"
"","Inventory In Transit","1945.00","Inventory In Transit"
"","Inventory In Transit","1945.00","Inventory In Transit"
"","Cost of Goods Sold","6511462.42","Cost of Goods Sold"
"","Cost of Goods Sold","6511462.42","Cost of Goods Sold"
"","Inventory Returned Not Credited","5098.35","Inventory Returned Not Credited"
"","8050 Sales Discounts","49725.34","8050 Sales Discounts"
"","8050 Sales Discounts","49725.34","8050 Sales Discounts"
"","8050 Sales Discounts","49725.34","8050 Sales Discounts"
"","6500 Payroll Expenses","8822.76","6500 Payroll Expenses"
"","6500 Payroll Expenses","8822.76","6500 Payroll Expenses"
"","6500 Payroll Expenses","8822.76","6500 Payroll Expenses"
"","6400 Salaries &amp; Wages Expense","71666.90","6400 Salaries &amp; Wages Expense"
"","6400 Salaries &amp; Wages Expense","71666.90","6400 Salaries &amp; Wages Expense"
"","6400 Salaries &amp; Wages Expense","71666.90","6400 Salaries &amp; Wages Expense"
"","6350 Software Expense","2000.00","6350 Software Expense"
"","6350 Software Expense","2000.00","6350 Software Expense"
"","6350 Software Expense","2000.00","6350 Software Expense"
"","6268 Telephone Expense : Online Fees","9000.00","6268 Telephone Expense : Online Fees"
"","6268 Telephone Expense : Online Fees","9000.00","6268 Telephone Expense : Online Fees"
"","6268 Telephone Expense : Online Fees","9000.00","6268 Telephone Expense : Online Fees"
"","6266 Telephone Expense : Cellular","506.63","6266 Telephone Expense : Cellular"
"","6266 Telephone Expense : Cellular","506.63","6266 Telephone Expense : Cellular"
"","6266 Telephone Expense : Cellular","506.63","6266 Telephone Expense : Cellular"
"","6262 Telephone Expense : Regular Service","3728.66","6262 Telephone Expense : Regular Service"
"","6262 Telephone Expense : Regular Service","3728.66","6262 Telephone Expense : Regular Service"
"","6262 Telephone Expense : Regular Service","3728.66","6262 Telephone Expense : Regular Service"
