"Can Be Safely Deleted or Modified","Cannot Be Safely Deleted or Modified","WARNING","IMPACTED CUSTOMIZATIONS","Inactive Customizations (Already Deleted)"
"Strongpoint New WF Diff (Workflow Action Script)",,,,
"script change test (Search)",,,,
"FLO User Role Spider SS (Scheduled Script)",,,,
"FLO Set Parent CRF (Workflow)",,,,
"FLO Set Cust to Incomplete (Workflow Action Script)",,,,
"FLO Set Cust to Complete (Workflow Action Script)",,,,
"FLO Search Spider WF (Workflow)",,,,
"FLO Save Simplified Diff View (Scheduled Script)",,,,
"FLO Log System Notes STLT (Suitelet Script)",,,,
"FLO Get CL Actual Date (Suitelet Script)",,,,
"FLO Customization To Make Join - New Test (Search)",,,,
"FLO Customization To Make Join (By Join Proc) TEST (Search)",,,,
"FLO Customization Search : Test for join (Search)",,,,
"FLO Current Spider Files (Search)",,,,
,"FLO customization to inactive (Workflow)","DEPENDENT MANAGED BUNDLE","FAM - Depreciation Method (Entry Form)",
,"Set Original Owner (Workflow)","DEPENDENT WORKFLOWS,DEPENDENT MANAGED BUNDLE","TEST Workflows (Workflow),FAM - Depreciation Method (Entry Form)",
,"FLO Set Cust to Incomplete (Workflow)","DEPENDENT MANAGED BUNDLE","FAM - Depreciation Method (Entry Form)",
,"FLO Delete Customizations (New) (Suitelet Script)","DEPENDENT SCRIPTS","Strongpoint Auto Archive (Scheduled Script),Strongpoint Delete Customizations (Suitelet Script)",
,"FLO Log System Notes (Scheduled Script)","RECENTLY USED","FLO Log System Notes (Scheduled Script)",
,"FLO User Role Spider (Suitelet Script)","DEPENDENT SCRIPTS","Strongpoint Role Permissions Search (Search),Strongpoint AutoSpiderPortlet(Real Time) (Portlet Script),Strongpoint Role Fields Search (Search),Strongpoint AutoSpider Portlet (Portlet Script),Strongpoint Auto Spider(Continuous) exec (Suitelet Script)",
,"FLO Workflow Spider Suitelet (Suitelet Script)","DEPENDENT SCRIPTS","Strongpoint Auto Spider(Continuous) exec (Suitelet Script),Strongpoint AutoSpiderPortlet(Real Time) (Portlet Script),Strongpoint AutoSpider Portlet (Portlet Script)",
,"Other Fields. (Search)","RECENTLY USED","Other Fields. (Search)",
,"FLO update Change Log Record SS (Scheduled Script)","DEPENDENT SCRIPTS,RECENTLY USED","FLO update Change Log Record SS (Scheduled Script),Strongpoint update Change Log Record (Workflow Action Script),Strongpoint Create CR from ChangeLog (Workflow Action Script)",
,"FLO Test List (List)","DATA SOURCE","FLO Test Custom Record Field (Custom Record Field)",
,"FLO Inactive/Delete Field Spider (Scheduled Script)","DEPENDENT SCRIPTS","Strongpoint Run Data Update/Repair (Suitelet Script),Strongpoint Clean Spider Data Folder (Bundle Installation Script),test reset status report (Suitelet Script)",
,"Pending Tasks (Search)","RECENTLY USED","Pending Tasks (Search)",
,"Test new diff columns (Search)","RECENTLY USED","Test new diff columns (Search)",
,"Sample Change Log Diff View (Search)","RECENTLY USED","Sample Change Log Diff View (Search)",
,"FLO Cancel Non-Material Changes Workflow (Mass Update)","RECENTLY USED","FLO Cancel Non-Material Changes Workflow (Mass Update)",
,"FLO Script File Notes (Search)","RECENTLY USED","FLO Script File Notes (Search)",
