Record,Record Type,Date,Modifier,Change Type,Changed Field,Old Value,New Value
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4260" target="_self" class="dottedlink">*Test ImpactAnalysis on EntityField</a>,Field,6/19/2017 5:53 am,John Albura,Change,Contact,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4260" target="_self" class="dottedlink">*Test ImpactAnalysis on EntityField</a>,Field,6/19/2017 5:53 am,John Albura,Change,Customer,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4259" target="_self" class="dottedlink">*Test new field</a>,Field,4/23/2017 5:49 am,Beverly Ucab,Change,Inactive,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:30 am,Agustin Aste,Create,Record,&nbsp;,CUSTENTITY_TST_EF_CL
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Label,*Testing EF,*Testing entity w/changes
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Type,Hyperlink,Currency
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Contact,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Customer,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Job,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Description,This is a test,This is a test with changes
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Other Name,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/16/2017 8:32 am,Agustin Aste,Change,Check Spelling,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/17/2017 11:54 pm,John Albura,Change,Customer,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/17/2017 11:54 pm,John Albura,Change,Description,This is a test with changes,This is a test with changes. Change.
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/18/2017 1:15 am,John Albura,Change,Description,This is a test with changes. Change.,This is a test with changes. Change. 2
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/18/2017 1:15 am,John Albura,Change,Job,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/18/2017 1:17 am,John Albura,Change,Job,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/18/2017 1:17 am,John Albura,Change,Description,This is a test with changes. Change. 2,This is a test with changes. Change. 23
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 2:04 am,John Albura,Change,Job,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:07 am,John Albura,Change,Description,This is a test with changes. Change. 23,This is a test with changes. Change. 2344
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:07 am,John Albura,Change,Job,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:08 am,John Albura,Change,Job,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:11 am,John Albura,Change,Job,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:20 am,John Albura,Change,Description,This is a test with changes. Change. 2344,This is a test with changes. Change. 2344. 67
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 5:20 am,John Albura,Change,Job,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 6:11 am,John Albura,Change,Vendor,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 6:20 am,John Albura,Change,Vendor,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 7:16 am,John Albura,Change,Employee,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 7:16 am,John Albura,Change,Description,This is a test with changes. Change. 2344. 67,This is a test with changes. Change. 2344. 67.8
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4432" target="_self" class="dottedlink">*Testing entity w/changes</a>,Field,6/19/2017 7:16 am,John Albura,Change,Vendor,F,T
-Check Inventory CS.,Script,6/27/2017 12:35 pm,A Wolf,Set,Description,&nbsp;,jfdhfjadshjkhalksjhd
-Check Inventory CS.,Script,6/27/2017 12:35 pm,A Wolf,Change,Name,-Check Inventory CS,-Check Inventory CS.
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3025" target="_self" class="dottedlink">-Contract Item</a>,Field,4/18/2017 9:09 am,Beverly Ucab,Change,Display Type,Normal,Hidden
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3025" target="_self" class="dottedlink">-Contract Item</a>,Field,4/18/2017 9:09 am,Beverly Ucab,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3025" target="_self" class="dottedlink">-Contract Item</a>,Field,4/18/2017 9:09 am,Beverly Ucab,Change,Revenue Arrangement,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4349" target="_self" class="dottedlink">aaatest</a>,Field,4/23/2017 7:52 am,John Albura,Create,Record,&nbsp;,CUSTEVENT3
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4349" target="_self" class="dottedlink">aaatest</a>,Field,4/23/2017 7:53 am,John Albura,Change,Inactive,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4405" target="_self" class="dottedlink">abc1234</a>,Field,6/2/2017 2:08 pm,Beverly Ucab,Create,Record,&nbsp;,CUSTRECORD1400
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4371" target="_self" class="dottedlink">Account</a>,Field,5/10/2017 2:21 am,Beverly Ucab,Create,Record,&nbsp;,CUSTRECORD_FLO_CR_ACCOUNTS
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4371" target="_self" class="dottedlink">Account</a>,Field,5/23/2017 2:36 am,Carlos Banawan,Set,Description,&nbsp;,The accounts of the Change Request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4371" target="_self" class="dottedlink">Account</a>,Field,5/23/2017 2:36 am,Carlos Banawan,Set,Help,&nbsp;,The accounts of the Change Request
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Notify Owner,&nbsp;,T
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Notify All Admins,&nbsp;,F
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Script File,&nbsp;,testRequestURL.js
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Notify User,&nbsp;,F
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Default Function,&nbsp;,re
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Inactive,&nbsp;,F
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,ID,&nbsp;,CUSTOMSCRIPT772
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Owner,&nbsp;,Beverly Ucab
action script dummy,Script,5/25/2017 2:33 pm,Beverly Ucab,Set,Name,&nbsp;,action script dummy
action script dummy,Script,6/17/2017 6:55 am,Beverly Ucab,Change,Notify User,F,T
action script dummy,Script,6/17/2017 6:55 am,Beverly Ucab,Set,Description,&nbsp;,test
action script dummy,Script,6/17/2017 6:55 am,Beverly Ucab,Change,Default Function,re,test
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4026" target="_self" class="dottedlink">Additional Approvers</a>,Field,5/23/2017 2:37 am,Carlos Banawan,Set,Help,&nbsp;,The additional approvers of the Change Request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4026" target="_self" class="dottedlink">Additional Approvers</a>,Field,5/23/2017 2:37 am,Carlos Banawan,Set,Description,&nbsp;,The additional approvers of the Change Request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4026" target="_self" class="dottedlink">Additional Approvers</a>,Field,5/23/2017 2:37 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=530" target="_self" class="dottedlink">Adjusted Lifetime</a>,Field,6/19/2017 6:51 am,Agustin Aste,Set,Description,&nbsp;,Added a description
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=530" target="_self" class="dottedlink">Adjusted Lifetime</a>,Field,6/19/2017 6:51 am,Agustin Aste,Change,Show In List,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=530" target="_self" class="dottedlink">Adjusted Lifetime</a>,Field,6/19/2017 6:51 am,Agustin Aste,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 12:13 pm,John Albura,Set,Description,&nbsp;,Adjusted Residual Value
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 12:13 pm,John Albura,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 12:21 pm,John Albura,Unset,Description,Adjusted Residual Value,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 1:22 pm,Agustin Aste,Change,Show In List,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 1:22 pm,Agustin Aste,Change,Owner,Nicolas Cano,Agustin Aste
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=634" target="_self" class="dottedlink">Adjusted Residual Value</a>,Field,6/19/2017 1:22 pm,Agustin Aste,Set,Description,&nbsp;,This is a new description
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3843" target="_self" class="dottedlink">Administrators</a>,Field,5/23/2017 3:04 am,Dev, Two,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3843" target="_self" class="dottedlink">Administrators</a>,Field,5/23/2017 3:04 am,Dev, Two,Set,Description,&nbsp;,This the employee administrators of the Configuration and Stats
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3843" target="_self" class="dottedlink">Administrators</a>,Field,5/23/2017 3:04 am,Dev, Two,Set,Help,&nbsp;,This the employee administrators of the Configuration and Stats
Advanced Change Manager,Role,6/20/2017 10:22 am,Leo Lacava,Create,Record,&nbsp;,1069
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-123&amp;id=244" target="_self" class="dottedlink">Aisle</a>,Record Type,5/2/2017 8:36 am,Beverly Ucab,Change,Description,test description.,test
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3789" target="_self" class="dottedlink">All Approvers Reason</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Description,&nbsp;,All approvers reason of the change request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3789" target="_self" class="dottedlink">All Approvers Reason</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Help,&nbsp;,All approvers reason of the change request
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3789" target="_self" class="dottedlink">All Approvers Reason</a>,Field,5/23/2017 2:38 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3758" target="_self" class="dottedlink">ALLOW CROSS-SUBSIDIARY RECORD VIEWING</a>,Field,5/23/2017 3:11 am,Carlos Banawan,Set,Description,&nbsp;,Allow cross-subsidiary records viewing when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3758" target="_self" class="dottedlink">ALLOW CROSS-SUBSIDIARY RECORD VIEWING</a>,Field,5/23/2017 3:11 am,Carlos Banawan,Set,Help,&nbsp;,Allow cross-subsidiary records viewing when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3758" target="_self" class="dottedlink">ALLOW CROSS-SUBSIDIARY RECORD VIEWING</a>,Field,5/23/2017 3:11 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Name,&nbsp;,Another Test Plugin
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,ID,&nbsp;,CUSTOMSCRIPT_ANOTHER_TEST_PLUGIN
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Inactive,&nbsp;,F
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Notify Owner,&nbsp;,T
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Notify All Admins,&nbsp;,F
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Owner,&nbsp;,John Albura
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Notify User,&nbsp;,F
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Plugin Class,&nbsp;,TestClass
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Deployment Model,&nbsp;,PLUGIN_TYPE_DEPLOYMENT_ALLOW_MULTIPLE
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Status,&nbsp;,Testing
Another Test Plugin,Script,4/25/2017 5:07 am,John Albura,Set,Log Level,&nbsp;,Debug
